"word","definition"
"crossette","A return in one of the corners of the architrave of a door or window; -- called also ancon, ear, elbow."""
"amazon","A tall, strong, masculine woman; a virago."""
"spang","To spangle."
"qualm","A sudden attack of illness, faintness, or pain; an agony."""
"condenser","An instrument for condensing air or other elastic fluids, consisting of a cylinder having a movable piston to force the air into a receiver, and a valve to prevent its escape."""
"hypostyle","Resting upon columns; constructed by means of columns; -- especially applied to the great hall at Karnak."
"stump","The part of a limb or other body remaining after a part is amputated or destroyed; a fixed or rooted remnant; a stub; as, the stump of a leg, a finger, a tooth, or a broom."""
"restraint","That which restrains, as a law, a prohibition, or the like; limitation; restriction."""
"forkiness","The quality or state or dividing in a forklike manner."
"overrigorous","Too rigorous; harsh."
"clerisy","The clergy, or their opinions, as opposed to the laity."""
"hectogramme","The same as Hectogram."
"celluloid","A substance composed essentially of gun cotton and camphor, and when pure resembling ivory in texture and color, but variously colored to imitate coral, tortoise shell, amber, malachite, etc. It is used in the manufacture of jewelry and many small articles, as combs, brushes, collars, and cuffs; -- originally called xylonite."""
"crunk","Alt. of Crunkle"
"admitted","Received as true or valid; acknowledged."
"cataloguer","A maker of catalogues; esp. one skilled in the making of catalogues."
"forbid","To oppose, hinder, or prevent, as if by an effectual command; as, an impassable river forbids the approach of the army."""
"sectary","A sectarian; a member or adherent of a sect; a follower or disciple of some particular teacher in philosophy or religion; one who separates from an established church; a dissenter."
"cherry","A tree or shrub of the genus Prunus (Which also includes the plum) bearing a fleshy drupe with a bony stone;"
"portray","To paint or draw the likeness of; as, to portray a king on horseback."""
"diddle","To cheat or overreach."
"underwing","Any one of numerous species of noctuid moths belonging to Catocala and allied genera, in which the hind wings are banded with red and black or other conspicuous colors. Many of the species are called red underwing."""
"vaccinating","of Vaccinate"
"polyandric","Pertaining to, or characterized by, polyandry; mating with several males."""
"cockweed","Peppergrass."
"abettal","Abetment."
"southwester","A storm, gale, or strong wind from the southwest."""
"moltable","Capable of assuming a molten state; meltable; fusible."
"clavigerous","Bearing a club or a key."
"incriminating","of Incriminate"
"irrevealable","Incapable of being revealed."
"gymnastic","A gymnast."
"decrescent","Becoming less by gradual diminution; decreasing; as, a decrescent moon."""
"romanticly","Romantically."
"swing","Influence of power of a body put in swaying motion."
"edge","To sail close to the wind."
"bowling","of Bowl"
"endurable","Capable of being endured or borne; sufferable."
"lama","See Llama."
"bezique","A game at cards in which various combinations of cards in the hand, when declared, score points."""
"inceptor","One who is on the point of taking the degree of master of arts at an English university."
"sleeve","A narrow channel of water."
"nummulation","The arrangement of the red blood corpuscles in rouleaux, like piles of coins, as when a drop of human blood is examined under the microscope."""
"convict","To demonstrate by proof or evidence; to prove."
"tunker","Same as Dunker."
"taverner","One who keeps a tavern."
"triple","To make threefold, or thrice as much or as many; to treble; as, to triple the tax on coffee."""
"octonaphthene","A colorless liquid hydrocarbon of the octylene series, occurring in Caucasian petroleum."""
"included","of Include"
"dark","A dark shade or dark passage in a painting, engraving, or the like; as, the light and darks are well contrasted."""
"prostomia","of Prostomium"
"aracari","A South American bird, of the genus Pleroglossius, allied to the toucans. There are several species."""
"unprizable","Invaluable; being beyond estimation."
"knuckle","The kneejoint, or middle joint, of either leg of a quadruped, especially of a calf; -- formerly used of the kneejoint of a human being."""
"extraterritoriality","The state of being beyond the limits of a particular territory"
"hit","A peculiarly apt expression or turn of thought; a phrase which hits the mark; as, a happy hit."""
"defoliate","Alt. of Defoliated"
"chlorimetry","See Chlorometry."
"accentuality","The quality of being accentual."
"fox","To intoxicate; to stupefy with drink."
"superexcellent","Excellent in an uncommon degree; very excellent."
"determinately","Resolutely; unchangeably."
"constitutionality","The quality or state of being constitutional, or inherent in the natural frame."""
"slop","Mean and weak drink or liquid food; -- usually in the plural."
"entomostracan","Relating to the Entomostraca."
"inscribe","To draw within so as to meet yet not cut the boundaries."
"soda","Sodium oxide or hydroxide."
"somnifugous","Driving away sleep."
"intimate","Innermost; inward; internal; deep-seated; hearty."
"wad","Alt. of Wadd"
"diverticular","Pertaining to a diverticulum."
"caterwauling","The cry of cats; a harsh, disagreeable noise or cry like the cry of cats."""
"subaltern","A subaltern proposition."
"phylactolemata","Same as Phylactolaema."
"provocation","That which provokes, or excites anger; the cause of resentment; as, to give provocation."""
"gut","To take out the bowels from; to eviscerate."
"scare","To frighten; to strike with sudden fear; to alarm."
"elapidation","A clearing away of stones."
"mischief","Harm; damage; esp., disarrangement of order; trouble or vexation caused by human agency or by some living being, intentionally or not; often, calamity, mishap; trivial evil caused by thoughtlessness, or in sport."""
"namo","No more."
"suitable","Capable of suiting; fitting; accordant; proper; becoming; agreeable; adapted; as, ornaments suitable to one's station; language suitable for the subject."""
"certainly","Without doubt or question; unquestionably."
"damascene","Of or relating to Damascus."
"rent","A certain periodical profit, whether in money, provisions, chattels, or labor, issuing out of lands and tenements in payment for the use; commonly, a certain pecuniary sum agreed upon between a tenant and his landlord, paid at fixed intervals by the lessee to the lessor, for the use of land or its appendages; as, rent for a farm, a house, a park, etc."""
"domineer","To rule with insolence or arbitrary sway; to play the master; to be overbearing; to tyrannize; to bluster; to swell with conscious superiority or haughtiness; -- often with over; as, to domineer over dependents."""
"stock","The beater of a fulling mill."
"cadis","A kind of coarse serge."
"virgin","Any one of several species of gossamer-winged butterflies of the family Lycaenidae."
"rifle","To raffle."
"zythum","A kind of ancient malt beverage; a liquor made from malt and wheat."
"quarried","Provided with prey."
"exalter","One who exalts or raises to dignity."
"disobligement","Release from obligation."
"borrowed","of Borrow"
"iranic","Iranian."
"sotilte","Subtlety."
"inirritable","Not irritable; esp. (Physiol.), incapable of being stimulated to action, as a muscle."""
"may","The merrymaking of May Day."
"patronize","To trade with customarily; to frequent as a customer."
"umbelliferone","A tasteless white crystalline substance, C9H6O3, found in the bark of a certain plant (Daphne Mezereum), and also obtained by the distillation of certain gums from the Umbelliferae, as galbanum, asafetida, etc. It is analogous to coumarin. Called also hydroxy-coumarin."""
